identifier,ringcount,linkage_p,six_ring_p,primaryamine,linker_length,linker_position,hetero_nitrogen,fluorination,furan,pyrrole,sidechain_on_linker,sidechain_on_backbone
1,2,0.0,0.0,2,2,1.0,0,0,0,0,0,0
2,2,0.0,0.0,2,1,1.0,0,0,0,0,0,0
3,2,0.0,0.0,2,0,1.0,0,0,0,0,0,0
4,1,0.0,0.0,2,2,1.0,0,0,0,0,0,0
5,1,0.0,0.0,2,2,1.0,0,0,1,0,0,0
6,1,0.0,0.0,2,2,1.0,0,0,0,1,0,0
7,1,0.0,1.0,2,2,1.0,0,0,0,0,0,1
8,1,0.0,0.0,1,1,1.0,0,0,0,0,0,0
9,2,0.0,1.0,2,2,1.0,0,0,0,0,0,1
10,1,0.0,0.0,1,1,1.0,0,0,0,0,0,0
11,1,0.0,1.0,1,1,0.6666666666666666,0,0,0,0,0,0
12,1,0.0,1.0,1,1,0.6666666666666666,0,1,0,0,0,0
13,1,0.0,1.0,1,1,0.6666666666666666,0,1,0,0,0,0
14,1,0.0,1.0,1,1,0.6666666666666666,0,1,0,0,0,0
15,1,0.0,1.0,1,1,0.6666666666666666,0,1,0,0,0,0
16,1,0.0,1.0,1,0,0.6666666666666666,0,0,0,0,0,0
17,1,0.0,0.0,2,2,0.5,0,0,0,0,0,0
18,1,0.0,0.0,2,1,1.0,0,0,0,0,0,0
19,1,0.0,1.0,1,1,0.6666666666666666,0,2,0,0,0,0
20,1,0.0,1.0,1,1,0.6666666666666666,0,2,0,0,0,0
21,1,0.0,1.0,2,1,1.0,0,1,0,0,0,0
22,1,0.0,1.0,2,2,1.0,0,1,0,0,0,0
23,1,0.0,1.0,2,1,1.0,1,1,0,0,0,0
24,1,0.0,1.0,2,2,1.0,1,1,0,0,0,0
25,1,0.0,1.0,2,1,1.0,0,0,0,0,0,0
26,1,0.0,1.0,2,2,1.0,0,0,0,0,0,0
27,1,0.0,1.0,2,1,1.0,1,0,0,0,0,0
28,1,0.0,1.0,2,2,1.0,1,0,0,0,0,0
29,2,0.0,1.0,1,1,1.0,0,0,0,0,0,0
30,2,0.0,1.0,2,2,1.0,0,0,0,0,0,0
31,2,0.0,1.0,2,1,1.0,0,0,0,0,0,0
32,2,0.0,1.0,2,0,1.0,0,0,0,0,0,0
33,1,0.0,0.0,2,2,0.5,0,0,0,0,0,0
34,2,0.0,0.5,2,2,1.0,0,0,0,0,0,0
35,1,0.0,0.0,2,2,1.0,0,0,0,0,0,1
36,1,0.0,0.0,2,2,1.0,0,0,0,0,0,1
37,1,0.0,1.0,1,1,1.0,0,0,0,0,0,0
38,1,0.0,1.0,1,1,0.6666666666666666,1,0,0,0,0,0
39,1,0.0,1.0,1,1,1.0,1,0,0,0,0,0
40,2,1.0,1.0,2,2,1.0,0,0,0,0,0,1
41,2,1.0,1.0,2,2,1.0,0,0,0,0,0,1
42,3,0.5,0.6666666666666666,2,2,1.0,0,0,0,0,0,0
43,3,0.5,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
44,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1
45,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1
46,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1
47,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1
48,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1
49,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1
50,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1
51,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1
52,2,0.0,1.0,2,2,1.0,0,0,0,0,0,1
53,2,0.0,1.0,1,1,1.0,1,0,0,0,0,0
54,2,0.0,1.0,1,1,1.0,1,0,0,0,0,0
55,2,0.0,1.0,1,1,1.0,1,0,0,0,0,0
56,1,0.0,1.0,2,0,1.0,0,0,0,0,0,0
57,1,0.0,1.0,2,1,0.6666666666666666,0,0,0,0,0,0
58,1,0.0,1.0,2,2,0.6666666666666666,0,0,0,0,0,0
59,1,0.0,1.0,2,0,0.6666666666666666,0,0,0,0,0,0
60,1,0.0,1.0,2,2,1.0,0,4,0,0,0,0
61,1,0.0,1.0,2,2,1.0,0,3,0,0,0,0
62,1,0.0,1.0,2,2,1.0,0,2,0,0,0,0
63,1,0.0,1.0,2,2,1.0,0,2,0,0,0,0
64,1,0.0,1.0,2,2,1.0,0,2,0,0,0,0
66,1,0.0,1.0,2,1,1.0,0,3,0,0,0,0
67,1,0.0,1.0,2,1,1.0,0,3,0,0,0,0
68,1,0.0,1.0,2,1,1.0,0,1,0,0,0,0
69,1,0.0,1.0,2,1,1.0,0,2,0,0,0,0
70,1,0.0,1.0,2,1,1.0,0,2,0,0,0,0
71,1,0.0,1.0,2,1,1.0,0,2,0,0,0,0
72,1,0.0,1.0,2,1,1.0,0,2,0,0,0,0
73,1,0.0,1.0,2,0,1.0,0,1,0,0,0,0
76,1,0.0,1.0,2,0,1.0,0,2,0,0,0,0
77,1,0.0,1.0,2,0,1.0,0,2,0,0,0,0
78,1,0.0,1.0,2,0,1.0,0,2,0,0,0,0
79,1,0.0,0.0,2,1,1.0,0,0,0,1,0,0
80,1,0.0,0.0,2,0,1.0,0,0,0,1,0,0
81,1,0.0,0.0,2,0,1.0,0,0,0,0,0,0
82,1,0.0,0.0,2,1,1.0,0,0,1,0,0,0
83,1,0.0,0.0,2,0,1.0,0,0,1,0,0,0
84,1,0.0,1.0,2,0,1.0,1,0,0,0,0,0
85,2,0.0,1.0,2,2,1.0,0,0,0,0,0,1
86,1,0.0,0.0,1,1,1.0,0,0,0,1,0,0
87,2,0.0,1.0,1,0,1.0,0,0,0,0,0,0
88,2,0.0,1.0,1,2,1.0,0,0,0,0,0,0
89,2,0.0,1.0,2,2,1.0,1,0,0,0,0,0
90,2,0.0,1.0,2,2,1.0,1,0,0,0,0,0
91,2,0.0,0.0,2,2,1.0,0,0,0,2,0,0
