identifier,HOMO,LUMO,HOMO_LUMO_gap
1,-12.63,-7.888,4.742000000000001
2,-13.185,-8.346,4.839
3,-13.801,-8.847,4.954000000000001
4,-14.221,-8.494,5.727
5,-14.147,-8.37,5.777000000000001
6,-13.449,-7.463,5.986
7,-13.7241,-8.10519,5.61891
8,-16.72,-11.247,5.472999999999999
9,-11.7991,-7.60559,4.193509999999999
10,-16.656,-11.238,5.417999999999999
11,-16.405,-10.585,5.82
12,-16.348,-10.709,5.638999999999999
13,-16.388,-10.792,5.596000000000002
14,-16.287,-10.886,5.401
15,-16.814,-10.679,6.135
16,-17.513,-11.585,5.928000000000001
17,-14.0234,-7.98709,6.03631
18,-15.011,-9.079,5.931999999999999
19,-16.568,-10.936,5.6320000000000014
20,-16.227,-10.989,5.2379999999999995
21,-14.771,-8.984,5.787000000000001
22,-14.073,-8.256,5.817
23,-15.425,-9.571,5.854000000000001
24,-14.47,-8.734,5.736000000000001
25,-14.872,-8.748,6.1240000000000006
26,-14.147,-8.206,5.941000000000001
27,-15.616,-9.291,6.324999999999999
28,-14.648,-8.495,6.1530000000000005
29,-13.974,-9.881,4.093
30,-12.151,-7.86,4.2909999999999995
31,-12.699,-8.336,4.3629999999999995
32,-13.295,-8.861,4.433999999999999
33,-13.9589,-8.38383,5.57507
34,-12.388,-7.789,4.599
35,-13.5771,-7.99906,5.57804
36,-13.6939,-8.07607,5.61783
37,-16.524,-10.859,5.665000000000001
38,-16.6681,-11.2685,5.3995999999999995
39,-17.3391,-11.1842,6.154899999999998
40,-12.1006,-6.87823,5.22237
41,-12.1736,-6.60829,5.56531
42,-10.9907,-6.49835,4.49235
43,-11.1452,-6.64992,4.495280000000001
44,-11.9899,-6.83795,5.15195
45,-12.1825,-6.70924,5.473259999999999
46,-11.8473,-6.70516,5.14214
47,-12.127,-6.73564,5.391360000000001
48,-11.9439,-7.1732,4.7707
49,-12.29,-6.74788,5.542119999999999
50,-11.8764,-6.9234,4.953
51,-11.8451,-7.12667,4.718430000000001
52,-11.9357,-7.74926,4.186440000000001
53,-14.475,-10.246,4.228999999999999
54,-14.615,-10.359,4.256
55,-14.684,-10.218,4.465999999999999
56,-15.651,-9.395,6.256
57,-14.925,-8.685,6.24
58,-14.208,-8.084,6.1240000000000006
59,-15.764,-9.401,6.3629999999999995
60,-13.976,-8.592,5.384
61,-13.993,-8.44,5.553000000000001
62,-14.109,-8.315,5.7940000000000005
63,-14.011,-8.368,5.642999999999999
64,-14.045,-8.417,5.628
65,-14.737,-9.289,5.448
66,-14.732,-9.19,5.542
67,-14.767,-9.158,5.609
68,-14.824,-8.828,5.996
69,-14.836,-9.021,5.8149999999999995
70,-14.715,-9.104,5.611000000000001
71,-14.817,-8.965,5.852
72,-14.767,-9.087,5.68
73,-15.555,-9.625,5.93
74,-15.532,-10.137,5.395
75,-15.53,-10.008,5.522
76,-15.584,-9.808,5.776
77,-15.453,-9.95,5.503
78,-15.586,-9.766,5.82
79,-14.288,-7.792,6.496
80,-15.432,-8.791,6.641
81,-15.918,-9.763,6.154999999999999
82,-14.987,-8.931,6.056000000000001
83,-15.962,-9.634,6.327999999999999
84,-16.442,-10.068,6.3740000000000006
85,-11.9268,-7.74328,4.18352
86,-16.387,-9.642,6.745000000000001
87,-14.634,-10.461,4.173
88,-13.283,-9.144,4.138999999999999
89,-12.629,-8.327,4.302
90,-12.549,-8.18,4.369
91,-11.92,-7.033,4.887
92,-12.551,-7.33,5.221
93,-13.277,-7.709,5.568
94,-12.402,-7.388,5.013999999999999
95,-13.301,-8.212,5.089
96,-14.218,-8.947,5.271000000000001
97,-12.104,-7.386,4.717999999999999
98,-11.885,-7.629,4.256
99,-11.059,-7.239,3.8199999999999994
100,-11.812,-7.618,4.193999999999999
101,-10.46,-6.915,3.545000000000001
102,-9.491,-6.404,3.0869999999999997
103,-10.786,-7.701,3.085
104,-9.808,-7.506,2.3019999999999996
105,-12.243,-6.906,5.337000000000001
106,-10.807,-6.067,4.74
107,-9.833,-5.578,4.255
108,-16.57,-10.747,5.823
109,-16.715,-10.767,5.948
110,-17.0564,-11.6903,5.366099999999999
111,-17.0406,-11.7156,5.325000000000001
112,-14.887,-9.217,5.67
113,-14.355,-8.823,5.532
114,-14.07,-8.453,5.617000000000001
115,-14.59,-8.688,5.901999999999999
116,-14.725,-8.598,6.126999999999999
117,-13.993,-7.691,6.3020000000000005
118,-14.484,-8.745,5.739000000000001
119,-14.539,-8.539,6.0
120,-13.559,-7.384,6.174999999999999
121,-14.065,-8.268,5.796999999999999
122,-13.892,-7.857,6.034999999999999
123,-14.047,-8.868,5.179
124,-14.329,-10.142,4.187000000000001
125,-14.467,-10.378,4.089
126,-14.047,-8.868,5.179
127,-14.639,-9.659,4.979999999999999
128,-14.823,-10.094,4.729000000000001
129,-14.485,-9.106,5.379
130,-14.485,-9.106,5.379
131,-12.609,-7.586,5.023
132,-12.088,-7.334,4.754
133,-12.397,-7.631,4.766
134,-12.588,-7.494,5.093999999999999
135,-14.514,-9.744,4.77
136,-14.954,-9.898,5.056000000000001
137,-14.51,-9.663,4.8469999999999995
138,-14.974,-9.835,5.138999999999999
139,-14.048,-9.311,4.737
140,-14.803,-9.905,4.8980000000000015
141,-14.246,-9.862,4.384
142,-13.967,-9.236,4.731
143,-14.462,-9.504,4.958
144,-14.216,-9.494,4.7219999999999995
145,-10.734,-6.448,4.286
146,-9.773,-6.039,3.734
147,-11.129,-6.634,4.494999999999999
148,-9.931,-5.843,4.087999999999999
149,-8.737,-5.479,3.258
150,-11.726,-7.539,4.187000000000001
151,-10.995,-7.099,3.895999999999999
152,-11.681,-7.499,4.1819999999999995
153,-10.334,-6.871,3.462999999999999
154,-9.421,-6.368,3.052999999999999
155,-15.287,-8.552,6.735000000000001
156,-14.602,-7.986,6.6160000000000005
157,-15.698,-9.829,5.869
158,-15.098,-9.298,5.800000000000001
159,-15.86,-10.181,5.679
160,-14.981,-9.246,5.734999999999999
161,-15.941,-10.043,5.8980000000000015
162,-15.333,-9.345,5.9879999999999995
163,-15.78,-10.067,5.712999999999999
164,-15.214,-9.449,5.765000000000001
165,-17.521,-10.475,7.046000000000001
166,-18.1954,-11.8174,6.378
167,-17.649,-11.588,6.061000000000002
168,-17.446,-11.689,5.7570000000000014
169,-11.968,-6.534,5.434
170,-10.714,-6.138,4.5760000000000005
171,-12.774,-6.981,5.792999999999999
