identifier,d_interlayer,bond_average,bond_equatorial,bond_axial,angleXMX_average,angleXMX_equatorial,angleXMX_axial,angleMXM_average
1,8.273534370546729,3.204290594828412,3.1910455931751773,3.2307805981348823,169.6807102792573,169.5107754170379,170.02058000369618,147.39428111848724
4,6.128534717035118,3.2175616512643876,3.2083062630265737,3.236072427740016,172.408541583752,170.84185754797414,175.54190965530773,147.56656498742063
5,5.539964331650106,3.235954216329103,3.254713659743193,3.1984353295009225,173.97179085850564,172.59248768431266,176.73039720689158,148.95448647788646
6,5.426969203679869,3.1839523655569617,3.1836939239450075,3.1844692487808697,178.65011565595725,178.03199352690757,179.8863599140565,161.71027811768096
7,6.691691546956976,3.213941715416029,3.2095271673016756,3.2227708116447342,174.42774774642155,173.00958348854607,177.26407626217244,146.8015841857311
8,4.020128778953224,3.2202919939049113,3.2113205026948624,3.238234976325009,172.59956877107186,172.22175965485,173.35518700351557,145.53673717785213
9,8.844540233914952,3.2043852139731377,3.1907438602713145,3.2316679213767845,170.38984314698783,167.93088837658576,175.30775268779195,148.5626027120852
10,4.113395536115699,3.21584582816304,3.2031694545200904,3.2411985754489394,172.25913049399503,171.70459362687976,173.3682042282256,145.94850248618505
11,3.764872876121654,3.2012622268969797,3.209691776754115,3.1844031271827085,178.76487938538898,178.8291053209104,178.63642751434602,160.11452631780685
17,4.693318978994047,3.247996127241974,3.307388408235693,3.129211565254536,174.09844970055954,173.7006554332428,174.89403823519302,151.14334368431378
18,4.792234510499702,3.219234800323855,3.2146795493783906,3.228345302214784,166.60804191231355,165.72411171542188,168.37590230609692,152.38732508412284
21,4.90464456126865,3.2115487768760507,3.2083132721335774,3.218019786360998,171.41152740810034,174.13612680625224,165.9623286117966,156.38705322842407
22,6.2133086886709545,3.1987451379297376,3.1911757686889786,3.2138838764112556,173.50475412277794,175.1247520557206,170.26475825689252,154.1703838628888
24,5.98867519041305,3.200512636430146,3.1775189394346626,3.246500030421115,169.66015270153054,167.98627957548638,173.00789895361888,153.4283265679177
25,4.838347685777477,3.191043391042493,3.1742869204143016,3.2245563322988766,166.25971190964714,165.80753984097942,167.16405604698258,161.15878670784298
26,6.417044173504718,3.1975359197310205,3.183934321080976,3.2247391170311093,176.95163617914315,175.5984077446761,179.65809304807726,149.86023911973848
27,4.733798282063094,3.209000051378304,3.2018074380873793,3.2233852779601535,172.48139033886756,175.61645334435894,166.2112643278849,157.42091585514802
28,5.728625225427585,3.17432295367489,3.1423984532546996,3.23817195451527,173.55361486619836,174.54944951623426,171.56194556612658,173.00279468161042
29,5.8500167685512885,3.2169733679578365,3.1900480334595267,3.2708240369544574,169.69923567295942,169.52669972247568,170.04430757392686,166.4788458030277
30,8.10459674404997,3.220160409214207,3.2244007907331467,3.2116796461763277,174.16528521346834,175.2931217411148,171.90961215817546,152.47163030044413
31,7.175755926416352,3.1935025470388267,3.1788113564653546,3.2228849281857705,168.37058565765264,168.41687956189202,168.27799784917391,158.71326731760024
33,4.730386756056711,3.3277069901286302,3.4261734421014074,3.130774086183074,169.84125918626643,170.17570974305545,169.17235807268838,144.27916190119578
34,8.387592514402435,3.221626805110533,3.214687947304792,3.2355045207220163,170.04497173872883,169.92679909137829,170.28131703342993,148.32115511945761
35,5.789675850977057,3.256890126445274,3.2881925575445807,3.1942852642466626,170.8250084199366,172.38135808721074,167.71230908538837,156.6014254070588
36,5.420492960448214,3.1870361730423724,3.191954328002816,3.1771998631214875,171.67611262913042,171.65119407610047,171.72594973519026,162.63745380446093
37,3.9043703205360467,3.2029060390984903,3.183410640358819,3.2418968365778302,166.93410607477193,166.13709595311298,168.52812631808982,165.03416423194093
38,4.26358678378833,3.2095454532434755,3.1913715980285016,3.245893163673424,175.9705740237482,176.64097757389825,174.62976692344813,146.71968620634465
39,4.133385722257814,3.202291595274076,3.1899615162588084,3.2269517533046117,175.129976015413,173.92800000974455,177.53392802674992,146.92085938024195
40,10.786533921135117,3.2286279137119447,3.2366067555981335,3.212670229939567,172.50990268155815,173.9006793896475,169.72834926537945,146.79541284728685
41,10.294679712660914,3.183276039690993,3.1635679056227355,3.222692307827507,172.62214765694466,171.4821320061021,174.90217895862975,170.06132515644575
42,10.767035218635415,3.2896836615643203,3.30436795411578,3.260315076461402,166.5987784063352,166.12255368656866,167.55122784586825,159.3340488847989
43,10.727772928263873,3.3484280681550946,3.411338481357867,3.2226072417495493,166.95342442952128,167.65801761058614,165.5442380673915,150.72217663032848
44,10.382504358754144,3.2603676578378895,3.2932383655749273,3.194626242363814,167.2647823413055,167.90018565755335,165.99397570880984,154.46033246604415
45,9.890642528772098,3.205574641595414,3.1971140498683273,3.222495825049588,169.71844952391692,170.4068955367061,168.34155749833857,161.0102622498016
46,9.998528403274076,3.2413597958195424,3.255237403722494,3.2136045800136386,166.3748486976229,165.82189882158278,167.48074844970316,152.31883963763997
47,10.428681533726767,3.2131960052161097,3.2065670255886816,3.226453964470964,169.9146362555781,167.20534274217636,175.3332232823816,145.50011424167232
48,10.526906710129293,3.2799276335708036,3.315923533219655,3.2079358342731012,168.2612569729189,167.22776874607013,170.3282334266164,146.11086728723745
49,10.01810456662161,3.230411026868545,3.2282754007146313,3.2346822791763707,170.67700042917488,169.61957761543601,172.7918460566526,156.26562528116142
50,9.68848653410384,3.2401893572491023,3.238271436311458,3.2440251991243914,174.6465620983502,174.7902351212461,174.35921605255845,157.19332638558518
51,10.053614112763587,3.266382000463674,3.2798640365984335,3.2394179281941544,172.25820094534149,174.24490375730022,168.284795321424,149.27542577828143
52,8.324221096961736,3.2145659942244365,3.2116095605514703,3.220478861570369,173.9630771247447,172.8095566957005,176.2701179828331,155.45204930377633
56,4.4411320725639465,3.180092715718111,3.18893555315262,3.1624070408490943,162.70570897146595,159.32336815835276,169.4703905976923,159.28164749886656
57,4.642057476524604,3.2458649099196144,3.2692474873342188,3.1990997550904057,171.64093253531328,170.96071789639757,173.00136181314474,150.5448228076479
58,5.868891324009743,3.2666821651898537,3.297612082781545,3.204822330006472,172.67116216061905,171.77546795451457,174.46255057282812,151.32383757120775
59,3.943416199308386,3.2153290322138943,3.2538392234583196,3.138308649725043,179.80113546123312,179.8391635224937,179.725079338712,144.7783126126156
60,6.8135927239487195,3.1895821434846177,3.1807896349482627,3.2071671605573293,169.20861644934158,168.2822502594923,171.0613488290402,146.16816377832617
62,6.209657917834217,3.201033583455276,3.203744497126571,3.1956117561126853,178.2218410524856,177.59657911158143,179.47236493429392,149.92558460340427
63,5.796889860875163,3.216792392363914,3.2026760939591195,3.245024989173503,174.84329251200026,177.7902938803709,168.9492897752589,149.82490621351354
64,5.915632034061409,3.2068084420845167,3.189499787716584,3.24142575082038,172.34355691209237,174.72602311703218,167.57862450221273,152.3844399038384
