identifier,ringcount,linkage_p,six_ring_p,primaryamine,linker_length,linker_position,hetero_nitrogen,fluorination,furan,pyrrole,sidechain_on_linker,sidechain_on_backbone,HOMO,LUMO
1,2,0.0,0.0,2,2,1.0,0,0,0,0,0,0,-12.63,-7.888
2,2,0.0,0.0,2,1,1.0,0,0,0,0,0,0,-13.185,-8.346
4,1,0.0,0.0,2,2,1.0,0,0,0,0,0,0,-14.221,-8.494
5,1,0.0,0.0,2,2,1.0,0,0,1,0,0,0,-14.147,-8.37
6,1,0.0,0.0,2,2,1.0,0,0,0,1,0,0,-13.449,-7.463
7,1,0.0,1.0,2,2,1.0,0,0,0,0,0,1,-13.7241,-8.10519
8,1,0.0,0.0,1,1,1.0,0,0,0,0,0,0,-16.72,-11.247
9,2,0.0,1.0,2,2,1.0,0,0,0,0,0,1,-11.7991,-7.60559
10,1,0.0,0.0,1,1,1.0,0,0,0,0,0,0,-16.656,-11.238
11,1,0.0,1.0,1,1,0.6666666666666666,0,0,0,0,0,0,-16.405,-10.585
12,1,0.0,1.0,1,1,0.6666666666666666,0,1,0,0,0,0,-16.348,-10.709
13,1,0.0,1.0,1,1,0.6666666666666666,0,1,0,0,0,0,-16.388,-10.792
14,1,0.0,1.0,1,1,0.6666666666666666,0,1,0,0,0,0,-16.287,-10.886
15,1,0.0,1.0,1,1,0.6666666666666666,0,1,0,0,0,0,-16.814,-10.679
16,1,0.0,1.0,1,0,0.6666666666666666,0,0,0,0,0,0,-17.513,-11.585
17,1,0.0,0.0,2,2,0.5,0,0,0,0,0,0,-14.0234,-7.98709
18,1,0.0,0.0,2,1,1.0,0,0,0,0,0,0,-15.011,-9.079
21,1,0.0,1.0,2,1,1.0,0,1,0,0,0,0,-14.771,-8.984
22,1,0.0,1.0,2,2,1.0,0,1,0,0,0,0,-14.073,-8.256
23,1,0.0,1.0,2,1,1.0,1,1,0,0,0,0,-15.425,-9.571
24,1,0.0,1.0,2,2,1.0,1,1,0,0,0,0,-14.47,-8.734
25,1,0.0,1.0,2,1,1.0,0,0,0,0,0,0,-14.872,-8.748
26,1,0.0,1.0,2,2,1.0,0,0,0,0,0,0,-14.147,-8.206
27,1,0.0,1.0,2,1,1.0,1,0,0,0,0,0,-15.616,-9.291
28,1,0.0,1.0,2,2,1.0,1,0,0,0,0,0,-14.648,-8.495
29,2,0.0,1.0,1,1,1.0,0,0,0,0,0,0,-13.974,-9.881
30,2,0.0,1.0,2,2,1.0,0,0,0,0,0,0,-12.151,-7.86
31,2,0.0,1.0,2,1,1.0,0,0,0,0,0,0,-12.699,-8.336
32,2,0.0,1.0,2,0,1.0,0,0,0,0,0,0,-13.295,-8.861
33,1,0.0,0.0,2,2,0.5,0,0,0,0,0,0,-13.9589,-8.38383
34,2,0.0,0.5,2,2,1.0,0,0,0,0,0,0,-12.388,-7.789
35,1,0.0,0.0,2,2,1.0,0,0,0,0,0,1,-13.5771,-7.99906
36,1,0.0,0.0,2,2,1.0,0,0,0,0,0,1,-13.6939,-8.07607
37,1,0.0,1.0,1,1,1.0,0,0,0,0,0,0,-16.524,-10.859
38,1,0.0,1.0,1,1,0.6666666666666666,1,0,0,0,0,0,-16.668,-11.269
39,1,0.0,1.0,1,1,1.0,1,0,0,0,0,0,-17.339,-11.184
40,2,1.0,1.0,2,2,1.0,0,0,0,0,0,1,-12.1006,-6.87823
41,2,1.0,1.0,2,2,1.0,0,0,0,0,0,1,-12.1736,-6.60829
42,3,0.5,0.6666666666666666,2,2,1.0,0,0,0,0,0,0,-10.9907,-6.49835
43,3,0.5,0.3333333333333333,2,2,1.0,0,0,0,0,0,0,-11.1452,-6.64992
44,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1,-11.9899,-6.83795
45,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1,-12.1825,-6.70924
46,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1,-11.8473,-6.70516
47,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1,-12.127,-6.73564
48,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1,-11.9439,-7.1732
49,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1,-12.29,-6.74788
50,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1,-11.8764,-6.9234
51,2,1.0,0.5,2,2,1.0,0,0,0,0,0,1,-11.8451,-7.12667
52,2,0.0,1.0,2,2,1.0,0,0,0,0,0,1,-11.9357,-7.74926
53,2,0.0,1.0,1,1,1.0,1,0,0,0,0,0,-14.475,-10.246
